title,summary,authors,title_summary,keywords
"From Causes for Database Queries to Repairs and Model-Based Diagnosis
  and Back","In this work we establish and investigate connections between causes for
query answers in databases, database repairs wrt. denial constraints, and
consistency-based diagnosis. The first two are relatively new research areas in
databases, and the third one is an established subject in knowledge
representation. We show how to obtain database repairs from causes, and the
other way around. Causality problems are formulated as diagnosis problems, and
the diagnoses provide causes and their responsibilities. The vast body of
research on database repairs can be applied to the newer problems of computing
actual causes for query answers and their responsibilities. These connections,
which are interesting per se, allow us, after a transition -inspired by
consistency-based diagnosis- to computational problems on hitting sets and
vertex covers in hypergraphs, to obtain several new algorithmic and complexity
results for database causality.","Leopoldo Bertossi, Babak Salimi","From Causes for Database Queries to Repairs and Model-Based Diagnosis
  and Back. In this work we establish and investigate connections between causes for
query answers in databases, database repairs wrt. denial constraints, and
consistency-based diagnosis. The first two are relatively new research areas in
databases, and the third one is an established subject in knowledge
representation. We show how to obtain database repairs from causes, and the
other way around. Causality problems are formulated as diagnosis problems, and
the diagnoses provide causes and their responsibilities. The vast body of
research on database repairs can be applied to the newer problems of computing
actual causes for query answers and their responsibilities. These connections,
which are interesting per se, allow us, after a transition -inspired by
consistency-based diagnosis- to computational problems on hitting sets and
vertex covers in hypergraphs, to obtain several new algorithmic and complexity
results for database causality.","Database Queries, Database Repairs, Model-Based Diagnosis, Algorithms, Complexity"
Document Selection in a Distributed Search Engine Architecture,"Distributed Search Engine Architecture (DSEA) hosts numerous independent
topic-specific search engines and selects a subset of the databases to search
within the architecture. The objective of this approach is to reduce the amount
of space needed to perform a search by querying only a subset of the total data
available. In order to manipulate data across many databases, it is most
efficient to identify a smaller subset of databases that would be most likely
to return the data of specific interest that can then be examined in greater
detail. The selection index has been most commonly used as a method for
choosing the most applicable databases as it captures broad information about
each database and its indexed documents. Employing this type of database allows
the researcher to find information more quickly, not only with less cost, but
it also minimizes the potential for biases. This paper investigates the
effectiveness of different databases selected within the framework and scope of
the distributed search engine architecture. The purpose of the study is to
improve the quality of distributed information retrieval.","Ibrahim AlShourbaji, Samaher Al-Janabi, Ahmed Patel","Document Selection in a Distributed Search Engine Architecture. Distributed Search Engine Architecture (DSEA) hosts numerous independent
topic-specific search engines and selects a subset of the databases to search
within the architecture. The objective of this approach is to reduce the amount
of space needed to perform a search by querying only a subset of the total data
available. In order to manipulate data across many databases, it is most
efficient to identify a smaller subset of databases that would be most likely
to return the data of specific interest that can then be examined in greater
detail. The selection index has been most commonly used as a method for
choosing the most applicable databases as it captures broad information about
each database and its indexed documents. Employing this type of database allows
the researcher to find information more quickly, not only with less cost, but
it also minimizes the potential for biases. This paper investigates the
effectiveness of different databases selected within the framework and scope of
the distributed search engine architecture. The purpose of the study is to
improve the quality of distributed information retrieval.","Document Selection, Distributed Search Engine Architecture, DSEA"
"OpenGeoBase: Information Centric Networking meets Spatial Database
  applications - Extended Version","This paper explores methodologies, advantages and challenges related to the
use of Information Centric Networking (ICN) for realizing distributed spatial
databases. Our findings show that the ICN functionality perfectly fits database
requirements: routing-by-name can be used to dispatch queries and insertions,
in-network caching to accelerate queries, and data-centric security to
implement secure multi-tenancy. We present an ICN-based distributed spatial
database, named OpenGeoBase, and describe its design choices. Thanks to ICN,
OpenGeoBase can quickly and efficiently provide information to database users;
easily operate in a distributed way, deploying and using many database engines
in parallel; secure every piece of content; naturally slice resources, so that
several tenants and users can concurrently and independently use the database.
We also show how OpenGeoBase can support a real world Intelligent Transport
System application, by enabling discovery of geo-referenced public
transportation information.","Andrea Detti, Nicola Blefari Melazzi, Michele Orru, Riccardo Paolillo, Giulio Rossi","OpenGeoBase: Information Centric Networking meets Spatial Database
  applications - Extended Version. This paper explores methodologies, advantages and challenges related to the
use of Information Centric Networking (ICN) for realizing distributed spatial
databases. Our findings show that the ICN functionality perfectly fits database
requirements: routing-by-name can be used to dispatch queries and insertions,
in-network caching to accelerate queries, and data-centric security to
implement secure multi-tenancy. We present an ICN-based distributed spatial
database, named OpenGeoBase, and describe its design choices. Thanks to ICN,
OpenGeoBase can quickly and efficiently provide information to database users;
easily operate in a distributed way, deploying and using many database engines
in parallel; secure every piece of content; naturally slice resources, so that
several tenants and users can concurrently and independently use the database.
We also show how OpenGeoBase can support a real world Intelligent Transport
System application, by enabling discovery of geo-referenced public
transportation information.","OpenGeoBase, Information Centric Networking, Spatial Database"
SNaX - A Database of Supernova X-ray Lightcurves,"We present the Supernova X-ray Database (SNaX), a compilation of the X-ray
data from young supernovae (SNe). The database includes the X-ray flux and
luminosity of young SNe, days to years after outburst. The original goal and
intent were to present a database of Type IIn SNe. After having accomplished
this we are slowly expanding it to include all SNe for which published data are
available. The interface allows one to search for SNe using various criteria,
plot all or selected data-points, and download both the data and the plot. The
plotting facility allows for significant customization. There is also a
facility for the user to submit data that can be directly incorporated into the
database. We include an option to fit the decay of any given SN lightcurve with
a power-law. The database includes a conversion of most datapoints to a common
0.3-8 keV band so that SN lightcurves may be directly compared with each other.
A mailing list has been set up to disseminate information about the database.
We outline the structure and function of the database, describe its various
features and outline the plans for future expansion.","Mathias Ross, Vikram V. Dwarkadas","SNaX - A Database of Supernova X-ray Lightcurves. We present the Supernova X-ray Database (SNaX), a compilation of the X-ray
data from young supernovae (SNe). The database includes the X-ray flux and
luminosity of young SNe, days to years after outburst. The original goal and
intent were to present a database of Type IIn SNe. After having accomplished
this we are slowly expanding it to include all SNe for which published data are
available. The interface allows one to search for SNe using various criteria,
plot all or selected data-points, and download both the data and the plot. The
plotting facility allows for significant customization. There is also a
facility for the user to submit data that can be directly incorporated into the
database. We include an option to fit the decay of any given SN lightcurve with
a power-law. The database includes a conversion of most datapoints to a common
0.3-8 keV band so that SN lightcurves may be directly compared with each other.
A mailing list has been set up to disseminate information about the database.
We outline the structure and function of the database, describe its various
features and outline the plans for future expansion.","SNaX, Supernova, X-ray Database, Type I"
"Synthetic Database for Evaluation of General, Fundamental Biometric
  Principles","We create synthetic biometric databases to study general, fundamental,
biometric principles. First, we check the validity of the synthetic database
design by comparing it to real data in terms of biometric performance. The real
data used for this validity check was from an eye-movement related biometric
database. Next, we employ our database to evaluate the impact of variations of
temporal persistence of features on biometric performance. We index temporal
persistence with the intraclass correlation coefficient (ICC). We find that
variations in temporal persistence are extremely highly correlated with
variations in biometric performance. Finally, we use our synthetic database
strategy to determine how many features are required to achieve particular
levels of performance as the number of subjects in the database increases from
100 to 10,000. An important finding is that the number of features required to
achieve various EER values (2%, 0.3%, 0.15%) is essentially constant in the
database sizes that we studied. We hypothesize that the insights obtained from
our study would be applicable to many biometric modalities where extracted
feature properties resemble the properties of the synthetic features we discuss
in this work.","Lee Friedman, Oleg Komogortsev","Synthetic Database for Evaluation of General, Fundamental Biometric
  Principles. We create synthetic biometric databases to study general, fundamental,
biometric principles. First, we check the validity of the synthetic database
design by comparing it to real data in terms of biometric performance. The real
data used for this validity check was from an eye-movement related biometric
database. Next, we employ our database to evaluate the impact of variations of
temporal persistence of features on biometric performance. We index temporal
persistence with the intraclass correlation coefficient (ICC). We find that
variations in temporal persistence are extremely highly correlated with
variations in biometric performance. Finally, we use our synthetic database
strategy to determine how many features are required to achieve particular
levels of performance as the number of subjects in the database increases from
100 to 10,000. An important finding is that the number of features required to
achieve various EER values (2%, 0.3%, 0.15%) is essentially constant in the
database sizes that we studied. We hypothesize that the insights obtained from
our study would be applicable to many biometric modalities where extracted
feature properties resemble the properties of the synthetic features we discuss
in this work.","Synthetic Database, Biometric Performance, Temporal Persistence"
Finding Theme Communities from Database Networks,"Given a database network where each vertex is associated with a transaction
database, we are interested in finding theme communities. Here, a theme
community is a cohesive subgraph such that a common pattern is frequent in all
transaction databases associated with the vertices in the subgraph. Finding all
theme communities from a database network enjoys many novel applications.
However, it is challenging since even counting the number of all theme
communities in a database network is #P-hard. Inspired by the observation that
a theme community shrinks when the length of the pattern increases, we
investigate several properties of theme communities and develop TCFI, a
scalable algorithm that uses these properties to effectively prune the patterns
that cannot form any theme community. We also design TC-Tree, a scalable
algorithm that decomposes and indexes theme communities efficiently. Retrieving
a ranked list of theme communities from a TC-Tree of hundreds of millions of
theme communities takes less than 1 second. Extensive experiments and a case
study demonstrate the effectiveness and scalability of TCFI and TC-Tree in
discovering and querying meaningful theme communities from large database
networks.","Lingyang Chu, Zhefeng Wang, Jian Pei, Yanyan Zhang, Yu Yang, Enhong Chen","Finding Theme Communities from Database Networks. Given a database network where each vertex is associated with a transaction
database, we are interested in finding theme communities. Here, a theme
community is a cohesive subgraph such that a common pattern is frequent in all
transaction databases associated with the vertices in the subgraph. Finding all
theme communities from a database network enjoys many novel applications.
However, it is challenging since even counting the number of all theme
communities in a database network is #P-hard. Inspired by the observation that
a theme community shrinks when the length of the pattern increases, we
investigate several properties of theme communities and develop TCFI, a
scalable algorithm that uses these properties to effectively prune the patterns
that cannot form any theme community. We also design TC-Tree, a scalable
algorithm that decomposes and indexes theme communities efficiently. Retrieving
a ranked list of theme communities from a TC-Tree of hundreds of millions of
theme communities takes less than 1 second. Extensive experiments and a case
study demonstrate the effectiveness and scalability of TCFI and TC-Tree in
discovering and querying meaningful theme communities from large database
networks.","TCFI, TC-Tree, Database Networks, Database"
Columnar Database Techniques for Creating AI Features,"Recent advances with in-memory columnar database techniques have increased
the performance of analytical queries on very large databases and data
warehouses. At the same time, advances in artificial intelligence (AI)
algorithms have increased the ability to analyze data. We use the term AI to
encompass both Deep Learning (DL or neural network) and Machine Learning (ML
aka Big Data analytics). Our exploration of the AI full stack has led us to a
cross-stack columnar database innovation that efficiently creates features for
AI analytics. The innovation is to create Augmented Dictionary Values (ADVs) to
add to existing columnar database dictionaries in order to increase the
efficiency of featurization by minimizing data movement and data duplication.
We show how various forms of featurization (feature selection, feature
extraction, and feature creation) can be efficiently calculated in a columnar
database. The full stack AI investigation has also led us to propose an
integrated columnar database and AI architecture. This architecture has
information flows and feedback loops to improve the whole analytics cycle
during multiple iterations of extracting data from the data sources,
featurization, and analysis.","Brad Carlile, Akiko Marti, Guy Delamarter","Columnar Database Techniques for Creating AI Features. Recent advances with in-memory columnar database techniques have increased
the performance of analytical queries on very large databases and data
warehouses. At the same time, advances in artificial intelligence (AI)
algorithms have increased the ability to analyze data. We use the term AI to
encompass both Deep Learning (DL or neural network) and Machine Learning (ML
aka Big Data analytics). Our exploration of the AI full stack has led us to a
cross-stack columnar database innovation that efficiently creates features for
AI analytics. The innovation is to create Augmented Dictionary Values (ADVs) to
add to existing columnar database dictionaries in order to increase the
efficiency of featurization by minimizing data movement and data duplication.
We show how various forms of featurization (feature selection, feature
extraction, and feature creation) can be efficiently calculated in a columnar
database. The full stack AI investigation has also led us to propose an
integrated columnar database and AI architecture. This architecture has
information flows and feedback loops to improve the whole analytics cycle
during multiple iterations of extracting data from the data sources,
featurization, and analysis.","Columnar Database, AI, Deep Learning, Neural Network, Machine Learning, Big Data"
A Blockchain Database Application Platform,"A blockchain is a decentralised linked data structure that is characterised
by its inherent resistance to data modification, but it is deficient in search
queries, primarily due to its inferior data formatting. A distributed database
is also a decentralised data structure which features quick query processing
and well-designed data formatting but suffers from data reliability. In this
demonstration, we showcase a blockchain database application platform developed
by integrating the blockchain with the database, i.e. we demonstrate a system
that has the decentralised, distributed and audibility features of the
blockchain and quick query processing and well-designed data structure of the
distributed databases. The system features a tamper-resistant, consistent and
cost-effective multi-active database and an effective and reliable data-level
disaster recovery backup. The system is demonstrated in practice as a
multi-active database along with the data-level disaster recovery backup
feature.","Muhammad Muzammal, Qiang Qu, Bulat Nasrulin, Anders Skovsgaard","A Blockchain Database Application Platform. A blockchain is a decentralised linked data structure that is characterised
by its inherent resistance to data modification, but it is deficient in search
queries, primarily due to its inferior data formatting. A distributed database
is also a decentralised data structure which features quick query processing
and well-designed data formatting but suffers from data reliability. In this
demonstration, we showcase a blockchain database application platform developed
by integrating the blockchain with the database, i.e. we demonstrate a system
that has the decentralised, distributed and audibility features of the
blockchain and quick query processing and well-designed data structure of the
distributed databases. The system features a tamper-resistant, consistent and
cost-effective multi-active database and an effective and reliable data-level
disaster recovery backup. The system is demonstrated in practice as a
multi-active database along with the data-level disaster recovery backup
feature.","Blockchain, Database, Disaster Recovery Backup, Data Reliability"
"Performing energy modelling exercises in a transparent way the issue of
  data quality in power plant databases","In energy modelling, open data and open source code can help enhance
traceability and reproducibility of model exercises which contribute to
facilitate controversial debates and improve policy advice. While the
availability of open power plant databases increased in recent years, they
often differ considerably from each other and their data quality has not been
systematically compared to proprietary sources yet. Here, we introduce the
python-based ""powerplantmatching"" (PPM), an open source toolset for cleaning,
standardizing and combining multiple power plant databases. We apply it once
only with open databases and once with an additional proprietary database in
order to discuss and elaborate the issue of data quality, by analysing
capacities, countries, fuel types, geographic coordinates and commissioning
years for conventional power plants. We find that a derived dataset purely
based on open data is not yet on a par with one in which a proprietary database
has been added to the matching, even though the statistical values for capacity
matched to a large degree with both datasets. When commissioning years are
needed for modelling purposes in the final dataset, the proprietary database
helps crucially to increase the quality of the derived dataset.","Fabian Gotzens, Heidi Heinrichs, Jonas Hörsch, Fabian Hofmann","Performing energy modelling exercises in a transparent way the issue of
  data quality in power plant databases. In energy modelling, open data and open source code can help enhance
traceability and reproducibility of model exercises which contribute to
facilitate controversial debates and improve policy advice. While the
availability of open power plant databases increased in recent years, they
often differ considerably from each other and their data quality has not been
systematically compared to proprietary sources yet. Here, we introduce the
python-based ""powerplantmatching"" (PPM), an open source toolset for cleaning,
standardizing and combining multiple power plant databases. We apply it once
only with open databases and once with an additional proprietary database in
order to discuss and elaborate the issue of data quality, by analysing
capacities, countries, fuel types, geographic coordinates and commissioning
years for conventional power plants. We find that a derived dataset purely
based on open data is not yet on a par with one in which a proprietary database
has been added to the matching, even though the statistical values for capacity
matched to a large degree with both datasets. When commissioning years are
needed for modelling purposes in the final dataset, the proprietary database
helps crucially to increase the quality of the derived dataset.","Energy Modeling, Open Data, Python, Power Plant, PPM, Data Quality"
Emotion recognition with 4kresolution database,"Classifying the human emotion through facial expressions is a big topic in
both the Computer Vision and Deep learning fields. Human emotion can be
classified as one of the basic emotion types like being angry, happy or
dimensional emotion with valence and arousal values. There are a lot of related
challenges in this topic, one of the most famous challenges is called the
'Affect-in-the-wild Challenge'(Aff-Wild Challenge). It is the first challenge
on the estimation of valence and arousal in-the-wild. This project is an
extension of the Aff-wild Challenge. Aff-wild database was created using images
with a mean resolution of 607*359, I and Dimitrios sought to find out the
performance of the model that is trained on a database that contains4K
resolution in-the-wild images. Since there is no existing database to satisfy
the requirement, I built this database from scratch with help from Dimitrios
and trained neural network models with different hyperparameters on this
database. I used network models likeVGG16, AlexNet, ResNet and also some
pre-trained models like Ima-geNet VGG. I compared the results of the different
network models alongside the results from the Aff-wild database to exploit the
optimal model for my database.",Qian Zheng,"Emotion recognition with 4kresolution database. Classifying the human emotion through facial expressions is a big topic in
both the Computer Vision and Deep learning fields. Human emotion can be
classified as one of the basic emotion types like being angry, happy or
dimensional emotion with valence and arousal values. There are a lot of related
challenges in this topic, one of the most famous challenges is called the
'Affect-in-the-wild Challenge'(Aff-Wild Challenge). It is the first challenge
on the estimation of valence and arousal in-the-wild. This project is an
extension of the Aff-wild Challenge. Aff-wild database was created using images
with a mean resolution of 607*359, I and Dimitrios sought to find out the
performance of the model that is trained on a database that contains4K
resolution in-the-wild images. Since there is no existing database to satisfy
the requirement, I built this database from scratch with help from Dimitrios
and trained neural network models with different hyperparameters on this
database. I used network models likeVGG16, AlexNet, ResNet and also some
pre-trained models like Ima-geNet VGG. I compared the results of the different
network models alongside the results from the Aff-wild database to exploit the
optimal model for my database.","Emotion Recognition, Neural Network, VGG16, AlexNet, ResNet, Dimitrios"
Learning Models over Relational Data: A Brief Tutorial,"This tutorial overviews the state of the art in learning models over
relational databases and makes the case for a first-principles approach that
exploits recent developments in database research.
  The input to learning classification and regression models is a training
dataset defined by feature extraction queries over relational databases. The
mainstream approach to learning over relational data is to materialize the
training dataset, export it out of the database, and then learn over it using a
statistical package. This approach can be expensive as it requires the
materialization of the training dataset. An alternative approach is to cast the
machine learning problem as a database problem by transforming the
data-intensive component of the learning task into a batch of aggregates over
the feature extraction query and by computing this batch directly over the
input database.
  The tutorial highlights a variety of techniques developed by the database
theory and systems communities to improve the performance of the learning task.
They rely on structural properties of the relational data and of the feature
extraction query, including algebraic (semi-ring), combinatorial (hypertree
width), statistical (sampling), or geometric (distance) structure. They also
rely on factorized computation, code specialization, query compilation, and
parallelization.","Maximilian Schleich, Dan Olteanu, Mahmoud Abo-Khamis, Hung Q. Ngo, XuanLong Nguyen","Learning Models over Relational Data: A Brief Tutorial. This tutorial overviews the state of the art in learning models over
relational databases and makes the case for a first-principles approach that
exploits recent developments in database research.
  The input to learning classification and regression models is a training
dataset defined by feature extraction queries over relational databases. The
mainstream approach to learning over relational data is to materialize the
training dataset, export it out of the database, and then learn over it using a
statistical package. This approach can be expensive as it requires the
materialization of the training dataset. An alternative approach is to cast the
machine learning problem as a database problem by transforming the
data-intensive component of the learning task into a batch of aggregates over
the feature extraction query and by computing this batch directly over the
input database.
  The tutorial highlights a variety of techniques developed by the database
theory and systems communities to improve the performance of the learning task.
They rely on structural properties of the relational data and of the feature
extraction query, including algebraic (semi-ring), combinatorial (hypertree
width), statistical (sampling), or geometric (distance) structure. They also
rely on factorized computation, code specialization, query compilation, and
parallelization.","Learning Models, Relational Databases, Machine Learning, Regression Models"
On Embeddings in Relational Databases,"We address the problem of learning a distributed representation of entities
in a relational database using a low-dimensional embedding. Low-dimensional
embeddings aim to encapsulate a concise vector representation for an underlying
dataset with minimum loss of information. Embeddings across entities in a
relational database have been less explored due to the intricate data relations
and representation complexity involved. Relational databases are an
inter-weaved collection of relations that not only model relationships between
entities but also record complex domain-specific quantitative and temporal
attributes of data defining complex relationships among entities. Recent
methods for learning an embedding constitute of a naive approach to consider
complete denormalization of the database by materializing the full join of all
tables and representing as a knowledge graph. This popular approach has certain
limitations as it fails to capture the inter-row relationships and additional
semantics encoded in the relational databases. In this paper we demonstrate; a
better methodology for learning representations by exploiting the underlying
semantics of columns in a table while using the relation joins and the latent
inter-row relationships. Empirical results over a real-world database with
evaluations on similarity join and table completion tasks support our
proposition.","Siddhant Arora, Srikanta Bedathur","On Embeddings in Relational Databases. We address the problem of learning a distributed representation of entities
in a relational database using a low-dimensional embedding. Low-dimensional
embeddings aim to encapsulate a concise vector representation for an underlying
dataset with minimum loss of information. Embeddings across entities in a
relational database have been less explored due to the intricate data relations
and representation complexity involved. Relational databases are an
inter-weaved collection of relations that not only model relationships between
entities but also record complex domain-specific quantitative and temporal
attributes of data defining complex relationships among entities. Recent
methods for learning an embedding constitute of a naive approach to consider
complete denormalization of the database by materializing the full join of all
tables and representing as a knowledge graph. This popular approach has certain
limitations as it fails to capture the inter-row relationships and additional
semantics encoded in the relational databases. In this paper we demonstrate; a
better methodology for learning representations by exploiting the underlying
semantics of columns in a table while using the relation joins and the latent
inter-row relationships. Empirical results over a real-world database with
evaluations on similarity join and table completion tasks support our
proposition.","Embeddings, Relational Databases, Low-Dimensional, Relationship Jumps, Latent Inter-row Relationships, Algorithms"
Dynamic Query Evaluation Over Structures with Low Degree,"We consider the evaluation of first-order queries over classes of databases
that have bounded degree and low degree. More precisely, given a query and a
database, we want to efficiently test whether there is a solution, count how
many solutions there are, or be able to enumerate the set of all solutions.
  Bounded and low degree are rather natural notions and both yield efficient
algorithms. For example, Berkholz, Keppeler, and Schweikardt showed in 2017
that over databases of bounded degree, not only any first order query can
efficiently be tested, counted and enumerated, but the data structure used can
be updated when the database itself is updated.
  This paper extends existing results in two directions. First, we show that
over classes of databases with low degree, there is a data structure that
enables us to test, count and enumerate the solutions of first order queries.
This data structure can also be efficiently recomputed when the database is
updated. Secondly, for classes of databases with bounded degree we show that,
without increasing the preprocessing time, we can compute a data structure that
does not depend on the query but only on its quantifier rank. We can therefore
perform a single preprocessing that can later be used for many queries.",Alexandre Vigny,"Dynamic Query Evaluation Over Structures with Low Degree. We consider the evaluation of first-order queries over classes of databases
that have bounded degree and low degree. More precisely, given a query and a
database, we want to efficiently test whether there is a solution, count how
many solutions there are, or be able to enumerate the set of all solutions.
  Bounded and low degree are rather natural notions and both yield efficient
algorithms. For example, Berkholz, Keppeler, and Schweikardt showed in 2017
that over databases of bounded degree, not only any first order query can
efficiently be tested, counted and enumerated, but the data structure used can
be updated when the database itself is updated.
  This paper extends existing results in two directions. First, we show that
over classes of databases with low degree, there is a data structure that
enables us to test, count and enumerate the solutions of first order queries.
This data structure can also be efficiently recomputed when the database is
updated. Secondly, for classes of databases with bounded degree we show that,
without increasing the preprocessing time, we can compute a data structure that
does not depend on the query but only on its quantifier rank. We can therefore
perform a single preprocessing that can later be used for many queries.","Dynamic Query Evaluation, Data Structures, Low Degree, Bounded Degree"
Biometric Masterkeys,"Biometric authentication is used to secure digital or physical access. Such
an authentication system uses a biometric database, where data are sometimes
protected by cancelable transformations. This paper introduces the notion of
biometric masterkeys. A masterkey is a feature vector such that the
corresponding template matches with a significant number of templates stored in
a cancelable biometric database. Such a masterkey is directly researched from a
cancelable biometric database, but we also investigate another scenario in
which the masterkey is fixed before the creation of the cancelable biometric
database, providing additional access rights in the system for the masterkey's
owner. Experimental results on the fingerprint database FVC and the face image
database LFW show the effectiveness and the efficiency of such masterkeys in
both scenarios. In particular, from any given feature vector, we are able to
construct a cancelable database, for which the biometric template matches with
all the templates of the database.","Tanguy Gernot, Patrick Lacharme","Biometric Masterkeys. Biometric authentication is used to secure digital or physical access. Such
an authentication system uses a biometric database, where data are sometimes
protected by cancelable transformations. This paper introduces the notion of
biometric masterkeys. A masterkey is a feature vector such that the
corresponding template matches with a significant number of templates stored in
a cancelable biometric database. Such a masterkey is directly researched from a
cancelable biometric database, but we also investigate another scenario in
which the masterkey is fixed before the creation of the cancelable biometric
database, providing additional access rights in the system for the masterkey's
owner. Experimental results on the fingerprint database FVC and the face image
database LFW show the effectiveness and the efficiency of such masterkeys in
both scenarios. In particular, from any given feature vector, we are able to
construct a cancelable database, for which the biometric template matches with
all the templates of the database.","Biometric Masterkeys, Authentication, Cancellable Databases, FVC, Face Image, LFW"
"DB-BERT: a Database Tuning Tool that ""Reads the Manual""","DB-BERT is a database tuning tool that exploits information gained via
natural language analysis of manuals and other relevant text documents. It uses
text to identify database system parameters to tune as well as recommended
parameter values. DB-BERT applies large, pre-trained language models
(specifically, the BERT model) for text analysis. During an initial training
phase, it fine-tunes model weights in order to translate natural language hints
into recommended settings. At run time, DB-BERT learns to aggregate, adapt, and
prioritize hints to achieve optimal performance for a specific database system
and benchmark. Both phases are iterative and use reinforcement learning to
guide the selection of tuning settings to evaluate (penalizing settings that
the database system rejects while rewarding settings that improve performance).
In our experiments, we leverage hundreds of text documents about database
tuning as input for DB-BERT. We compare DB-BERT against various baselines,
considering different benchmarks (TPC-C and TPC-H), metrics (throughput and run
time), as well as database systems (Postgres and MySQL). In all cases, DB-BERT
finds the best parameter settings among all compared methods. The code of
DB-BERT is available online at https://itrummer.github.io/dbbert/.",Immanuel Trummer,"DB-BERT: a Database Tuning Tool that ""Reads the Manual"". DB-BERT is a database tuning tool that exploits information gained via
natural language analysis of manuals and other relevant text documents. It uses
text to identify database system parameters to tune as well as recommended
parameter values. DB-BERT applies large, pre-trained language models
(specifically, the BERT model) for text analysis. During an initial training
phase, it fine-tunes model weights in order to translate natural language hints
into recommended settings. At run time, DB-BERT learns to aggregate, adapt, and
prioritize hints to achieve optimal performance for a specific database system
and benchmark. Both phases are iterative and use reinforcement learning to
guide the selection of tuning settings to evaluate (penalizing settings that
the database system rejects while rewarding settings that improve performance).
In our experiments, we leverage hundreds of text documents about database
tuning as input for DB-BERT. We compare DB-BERT against various baselines,
considering different benchmarks (TPC-C and TPC-H), metrics (throughput and run
time), as well as database systems (Postgres and MySQL). In all cases, DB-BERT
finds the best parameter settings among all compared methods. The code of
DB-BERT is available online at https://itrummer.github.io/dbbert/.","DB-BERT, Database Tuning Tool, BERT, Natural Language Processing, NLP"
What Can Database Query Processing Do for Instance-Spanning Constraints?,"In the last decade, the term instance-spanning constraint has been introduced
in the process mining field to refer to constraints that span multiple process
instances of one or several processes. Of particular relevance, in this
setting, is checking whether process executions comply with constraints of
interest, which at runtime calls for suitable monitoring techniques. Even
though event data are often stored in some sort of database, there is a lack of
database-oriented approaches to tackle compliance checking and monitoring of
(instance-spanning) constraints. In this paper, we fill this gap by showing how
well-established technology from database query processing can be effectively
used for this purpose. We propose to define an instance-spanning constraint
through an ensemble of four database queries that retrieve the satisfying,
violating, pending-satisfying, and pending-violating cases of the constraint.
In this context, the problem of compliance monitoring then becomes an
application of techniques for incremental view maintenance, which is
well-developed in database query processing. In this paper, we argue for our
approach in detail, and, as a proof of concept, present an experimental
validation using the DBToaster incremental database query engine.","Heba Aamer, Marco Montali, Jan Van den Bussche","What Can Database Query Processing Do for Instance-Spanning Constraints?. In the last decade, the term instance-spanning constraint has been introduced
in the process mining field to refer to constraints that span multiple process
instances of one or several processes. Of particular relevance, in this
setting, is checking whether process executions comply with constraints of
interest, which at runtime calls for suitable monitoring techniques. Even
though event data are often stored in some sort of database, there is a lack of
database-oriented approaches to tackle compliance checking and monitoring of
(instance-spanning) constraints. In this paper, we fill this gap by showing how
well-established technology from database query processing can be effectively
used for this purpose. We propose to define an instance-spanning constraint
through an ensemble of four database queries that retrieve the satisfying,
violating, pending-satisfying, and pending-violating cases of the constraint.
In this context, the problem of compliance monitoring then becomes an
application of techniques for incremental view maintenance, which is
well-developed in database query processing. In this paper, we argue for our
approach in detail, and, as a proof of concept, present an experimental
validation using the DBToaster incremental database query engine.","Database Query Processing, Instance-Spanning Constraints, Compliance Monitoring, DBToaster, Incremental View Maintenance"
Paraconsistent logic and query answering in inconsistent databases,"This paper concerns the paraconsistent logic LPQ$^{\supset,\mathsf{F}}$ and
an application of it in the area of relational database theory. The notions of
a relational database, a query applicable to a relational database, and a
consistent answer to a query with respect to a possibly inconsistent relational
database are considered from the perspective of this logic. This perspective
enables among other things the definition of a consistent answer to a query
with respect to a possibly inconsistent database without resort to database
repairs. In a previous paper, LPQ$^{\supset,\mathsf{F}}$ is presented with a
sequent-style natural deduction proof system. In this paper, a sequent calculus
proof system is presented because it is common to use a sequent calculus proof
system as the basis of proof search procedures and such procedures may form the
core of algorithms for computing consistent answers to queries.",C. A. Middelburg,"Paraconsistent logic and query answering in inconsistent databases. This paper concerns the paraconsistent logic LPQ$^{\supset,\mathsf{F}}$ and
an application of it in the area of relational database theory. The notions of
a relational database, a query applicable to a relational database, and a
consistent answer to a query with respect to a possibly inconsistent relational
database are considered from the perspective of this logic. This perspective
enables among other things the definition of a consistent answer to a query
with respect to a possibly inconsistent database without resort to database
repairs. In a previous paper, LPQ$^{\supset,\mathsf{F}}$ is presented with a
sequent-style natural deduction proof system. In this paper, a sequent calculus
proof system is presented because it is common to use a sequent calculus proof
system as the basis of proof search procedures and such procedures may form the
core of algorithms for computing consistent answers to queries.","Paraconsistent Logic, Relational Database, Sequent Calculus, Natural Decision"
